canonical_id,display_name,scientific_name,figma_node_id
atlantic_herring,Atlantic Herring,Clupea harengus,1:992
bone_eating_worm,Bone Eating Worm,Osedax frankpressi,1:1486
flapjack_octopus,Flapjack Octopus,Opisthoteuthis californiana,2:507
giant_pacific_octopus,Giant Pacific Octopus,Enteroctopus dofleini,15:1628
green_sea_urchin,Green Sea Urchin,Strongylocentrotus droebachiensis,1:594
king_crab,King Crab,Neolithodes agassizii,1:2431
kitefin_shark,Kitefin Shark,Dalatias licha,1:1401
northern_krill,Northern Krill,Meganyctiphanes norvegica,1:1154
moon_jellyfish,Moon Jellyfish,Aurelia aurita,14:1523
orange_roughy,Orange Roughy,Hoplostethus atlanticus,1:1284
phytoplankton,Phytoplankton,Prochlorococcus marinus,3:781
pinecone_fish,Pinecone Fish,Monocentris japonica,3:454
precious_coral,Precious Coral,Corallium rubrum,3:618
reef_manta_ray,Reef Manta Ray,Mobula alfredi,12:1272
great_hammerhead_shark,Great Hammerhead Shark,Sphyrna mokarran,1:827
spotted_lanternfish,Spotted Lanternfish,Myctophum punctatum,13:1404
tree_bubblegum_coral,Tree Bubblegum Coral,Paragorgia arborea,1:1918
atlantic_bluefin_tuna,Atlantic Bluefin Tuna,Thunnus thynnus,1:892
warty_squid,Warty Squid,Moroteuthopsis longimana,1:2170
zigzag_coral,Zigzag Coral,Madrepora oculata,1:2020
